Name,GWEIGHT,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
SAP4       : G1/S transition of mitotic cell cycle ,1,-0.49,-0.4,-0.35,0.09,0.15,0.04,-2.16,-1.12,-0.31,-0.08,-0.34,-0.45,-0.7,-0.74,-0.6,-0.08,-0.34,-0.07,-1.64,-0.8,-0.96,-0.71,-0.55,-0.26,-0.44,-0.1,-0.46,-0.45,-0.29,-0.49,-0.84,-0.7,-0.63,-0.28,-0.29,-0.31
MRPS16     : protein biosynthesis ,1,-0.75,-0.1,-0.15,0.11,0.17,0.05,-1.45,-1.48,-0.26,-0.18,-0.17,-0.69,-0.16,-0.03,0.29,0.34,0.02,0.04,-1.01,-0.45,-0.39,-0.37,-0.27,-0.31,-0.45,-0.5,-0.45,-0.46,-0.41,-0.42,-0.15,-0.64,-0.12,-0.26,-0.54,-0.67
QCR7       : aerobic respiration* ,1,-0.38,-0.03,-0.06,-0.01,0.03,-0.38,-1.56,-1.16,-0.41,0.15,-0.4,-0.86,0.21,0.27,0.39,0.22,-0.28,-0.57,-1.21,-0.77,-0.22,-0.31,-0.14,-0.39,-0.52,-0.69,-0.74,-0.79,-0.78,-0.78,-0.74,-0.67,-0.49,-0.41,-0.89,-1.08
ATP20      : ATP synthesis coupled proton transport ,1,-0.61,0,0.03,0.08,0.33,-0.39,-3.19,-2.18,-0.47,-0.37,-0.65,-0.93,0.13,-0.26,0.1,0.15,-0.55,-0.21,-2.35,-1.11,-0.35,-0.4,-0.43,-0.44,-0.84,-0.96,-0.95,-0.7,-0.97,-0.85,-1.08,-0.92,-0.88,-0.53,-0.93,-1.24
ATP14      : ATP synthesis coupled proton transport ,1,-0.44,-0.19,-0.25,-0.04,0.04,-0.16,-1.92,-1.52,-0.73,-0.67,-0.78,-0.69,-0.02,-0.04,-0.06,-0.19,-0.49,-0.66,-1.8,-0.85,-0.39,-0.49,-0.72,-0.68,-0.6,-0.61,-0.58,-0.84,-0.76,-0.89,-1.47,-0.59,-0.66,-0.84,-0.78,-0.97
SLF1       : copper ion homeostasis* ,1,-0.51,-0.62,-0.56,-0.53,-0.16,-0.25,-1.58,-1.41,-0.66,-0.3,-0.4,-0.79,-0.37,-0.4,-0.16,-0.11,-0.07,-0.47,-1.69,-0.53,-0.27,-0.5,-0.46,-0.58,-0.76,-0.47,-0.55,-0.62,-0.45,-0.48,-1.45,-0.42,-0.42,-0.39,-0.62,-0.58
          : biological process unknown ,1,-0.48,0.05,-0.2,-0.1,-0.06,-0.22,-1.5,-1.61,-0.94,-0.74,-0.39,-0.68,-0.29,-0.36,0.16,0.09,-0.08,-0.44,-1.7,-0.44,-0.15,-0.05,-0.13,-0.21,-0.16,-0.45,-0.37,-0.44,-0.3,-0.41,-0.58,-0.37,-0.08,-0.3,-0.57,-0.53
TNA1       : nicotinamide mononucleotide transport ,1,-0.51,-0.47,-0.49,-0.65,-0.65,-0.63,-0.98,-1.19,-1.25,-1.19,-1.13,-0.95,-0.28,0.05,-0.4,-0.25,-0.31,-0.19,-2.18,-1.36,-1.31,-1.12,-1.19,-0.64,-1.18,-0.88,-0.44,-0.32,-0.03,-0.36,-1.71,-1.12,-0.8,-0.12,-0.37,-0.15
VAS1       : valyl-tRNA aminoacylation ,1,-0.41,-0.45,-0.38,-0.38,-0.21,-0.18,-0.71,-0.87,-0.8,-0.76,-0.29,-0.28,-0.23,-0.03,-0.42,-0.44,-0.21,0.01,-1.18,-1.09,-0.81,-0.73,-0.62,-0.56,-0.07,-0.24,-0.12,-0.24,-0.28,-0.32,-1.19,-0.84,-0.52,-0.49,-0.27,-0.29
          : biological process unknown ,1,-0.1,-0.09,-0.03,-0.13,-0.03,0.08,-1.42,-1.2,-0.5,-0.38,-0.33,-0.45,-0.61,-0.58,-0.24,-0.22,-0.14,-0.55,-0.79,-0.62,-0.27,-0.26,-0.29,-0.34,-0.75,-0.17,0.03,-0.08,0.08,0.06,-0.99,-0.56,-0.11,-0.08,-0.18,-0.07
GRX5       : response to osmotic stress* ,1,-0.17,-0.04,-0.33,-0.12,0.29,0.49,-1.15,-0.67,-0.44,-0.25,-0.37,0.14,-0.46,-0.58,-0.45,-0.42,-0.24,0.06,-0.46,-0.6,-0.23,-0.3,-0.22,-0.09,-0.49,-0.47,-0.38,-0.18,-0.02,0.13,-1.11,-0.42,-0.32,-0.13,-0.07,-0.04
          : biological process unknown ,1,-0.47,-0.34,-0.31,-0.19,-0.12,0,-0.57,-0.59,-0.66,-0.5,-0.34,0.15,-0.24,-0.32,-0.14,0.03,0.05,0,-0.42,-0.81,-0.5,-0.44,-0.43,-0.18,-0.42,-0.2,-0.12,-0.06,0.05,0.02,-1.3,0.21,-0.22,-0.18,-0.14,0.15
DED1       : translational initiation ,1,-0.95,-0.73,-0.7,-0.21,-0.25,-0.19,0.19,0.32,-0.42,-0.68,-0.61,0.08,-1.76,-1.14,-0.97,-0.78,-0.22,-0.19,-2.38,-0.23,-0.6,-0.7,-0.79,-0.29,-1.19,-0.77,-0.56,-0.41,-0.16,-0.14,-2.27,-0.53,-0.32,-0.6,-0.22,0.36
TBF1       : loss of chromatin silencing ,1,-0.39,-0.46,-0.28,-0.03,-0.03,-0.01,0.33,0.33,-0.56,-0.28,-0.51,0.23,-0.68,-0.72,-0.38,-0.24,0.08,0.28,-0.99,-0.37,-0.56,-0.37,-0.41,-0.17,-0.5,-0.55,-0.23,-0.23,-0.06,-0.06,-1.32,-0.18,-0.21,-0.26,0.05,0.11
GPI16      : attachment of GPI anchor to protein ,1,-0.44,-0.57,-0.29,-0.15,-0.2,-0.14,0.27,0.21,-0.82,-0.72,-0.67,-0.11,-0.54,-0.4,-0.52,-0.28,-0.34,-0.09,-0.49,-0.29,-0.7,-0.36,-0.58,-0.24,-0.23,-0.38,-0.23,-0.12,-0.02,-0.05,-1.08,-0.28,-0.33,-0.41,-0.1,0.04
NUP100     : mRNA-nucleus export* ,1,-0.29,-0.49,-0.02,-0.07,-0.03,0.14,0.18,-0.05,-0.56,-0.76,-0.39,-0.02,-0.66,-0.27,-0.28,-0.35,-0.29,-0.25,-0.89,-0.68,-0.46,-0.51,-0.47,-0.36,-0.4,-0.5,-0.05,-0.17,0.01,0.06,-1.35,-0.53,-0.2,-0.17,-0.19,0.11
          : biological process unknown ,1,-0.4,-0.63,-0.18,-0.12,-0.1,0.17,-0.14,-0.04,-0.66,-0.45,-0.48,0.4,-0.36,-0.45,-0.33,0.01,0.01,0.32,-0.83,-0.57,-0.48,-0.35,-0.56,-0.29,-0.36,-0.35,-0.23,-0.04,-0.01,0.12,-1.12,-0.23,-0.35,-0.33,0.01,0.3
ADE6       : 'de novo' IMP biosynthesis* ,1,-0.42,-0.13,-0.21,-0.09,0.1,0.57,-0.16,-0.26,-0.48,-0.45,-0.22,0.41,-0.63,-0.31,-0.44,-0.13,0.15,0.07,-1.06,-0.62,-0.54,-0.39,-0.4,-0.15,-0.11,-0.05,0.1,0.1,0.5,0.39,-1.5,-0.79,-0.24,-0.14,0,0.42
COP1       : ER to Golgi transport* ,1,-0.59,-0.67,-0.3,-0.18,0.1,0.17,-0.12,-0.11,-0.67,-0.3,-0.15,0.1,-0.13,-0.13,-0.33,-0.08,0.03,0.09,-1.15,-0.45,-0.1,-0.14,-0.25,-0.15,-0.19,-0.18,0.01,0.07,0.2,0.03,-1.06,-0.49,-0.17,-0.2,-0.08,0.1
          : biological process unknown ,1,-0.73,-0.71,-0.54,-0.17,-0.29,-0.06,-0.7,-0.58,-0.54,-0.52,-0.3,0.05,-0.61,-0.36,-0.32,-0.4,-0.24,0.09,-1.77,-0.69,-0.41,-0.24,-0.25,0.14,-0.62,-0.22,-0.23,-0.21,0.27,0.14,-1.22,-0.09,-0.1,-0.03,0.05,0.54
FRS1       : phenylalanyl-tRNA aminoacylation ,1,-0.93,-0.58,-0.23,-0.08,-0.1,-0.03,-0.14,-0.23,-0.62,-0.64,-0.21,0.05,-0.91,-0.55,-0.49,-0.67,-0.01,-0.5,-0.82,-0.39,0,-0.22,0.05,-0.27,-0.58,-0.2,-0.02,-0.02,0.1,0.11,-1.58,-0.5,0.01,0.07,-0.01,-0.07
GCD11      : translational initiation ,1,-0.66,-0.68,-0.16,-0.01,0.06,0.06,-0.1,-0.19,-0.58,-0.39,-0.28,0.18,-0.9,-0.65,-0.43,-0.47,0,-0.04,-1.41,-0.51,-0.24,-0.2,-0.11,-0.18,-0.74,-0.3,0.13,-0.02,0.04,0.2,-1.75,-0.41,-0.06,-0.06,-0.02,0.07
PGM1       : glucose 1-phosphate utilization* ,1,-0.89,-0.49,-0.44,-0.24,-0.08,0.13,-0.43,-0.37,-0.48,-0.14,-0.11,0.32,-0.87,-0.69,-0.17,-0.27,0.18,0.11,-1.28,-0.08,-0.03,-0.04,0.05,0.14,-0.62,-0.38,0.11,0,0.09,0.27,-1.77,-0.54,-0.22,-0.21,0.02,0.23
ARX1       : ribosomal large subunit biogenesis ,1,-0.7,-0.77,-0.27,-0.32,0.13,0.36,-0.68,-0.63,-0.55,-0.5,-0.31,0.21,-0.64,-0.31,-0.44,-0.34,0.24,0.16,-1.32,-0.46,-0.05,-0.05,0.05,-0.17,-0.99,-0.26,-0.09,-0.01,0.15,0.4,-2.2,-0.31,0.17,0.16,0.28,0.37
          : biological process unknown ,1,-0.53,-0.67,-0.39,-0.42,-0.09,0.09,-0.11,-0.21,-0.25,-0.32,-0.08,0.32,-0.53,-0.49,-0.3,-0.19,0.31,0.2,NA,-0.54,-0.27,-0.2,-0.21,-0.12,-0.48,-0.1,0.14,-0.02,0.17,0.19,-1.1,-0.28,-0.16,-0.09,0.06,0.35
IMD3       : GTP biosynthesis ,1,-1.23,-1.18,-0.58,-0.34,-0.02,0.07,-0.82,-0.52,-0.97,-0.67,-0.42,0.07,-0.98,-0.57,-0.62,-0.56,0.05,0.15,-2.18,-1.95,-1.33,-0.93,-0.75,-0.54,-0.9,-0.19,0.59,0.39,0.4,0.43,-2.63,-0.58,-0.44,-0.01,-0.13,0.12
ERG12      : ergosterol biosynthesis ,1,-0.37,-0.48,-0.33,-0.08,-0.03,0.23,-0.29,-0.34,-0.71,-0.49,-0.29,0.41,-0.39,-0.45,-0.28,-0.09,0.24,0.38,-0.94,-0.65,-0.57,-0.49,-0.37,-0.18,-0.5,-0.11,0.27,0.35,0.37,0.23,-1.46,-0.39,-0.13,0.06,0.19,0.3
"DBP2       : mRNA catabolism, nonsense-mediated decay ",1,-0.64,-0.62,-0.26,-0.23,0.04,0.23,-0.13,-0.3,-0.76,-0.72,-0.27,0.41,-0.67,-0.4,-0.47,-0.53,0.05,0.09,-1.24,-1.03,-0.56,-0.5,-0.37,-0.11,-0.79,-0.52,-0.03,-0.08,0.4,0.41,-1.39,-0.26,0.21,0.15,0.38,0.64
SCP160     : chromosome segregation* ,1,-0.58,-0.71,-0.23,-0.03,0.27,0.22,-0.03,-0.09,-0.52,-0.41,0.05,0.27,-0.55,-0.45,-0.5,-0.37,-0.15,-0.12,-1.21,-0.68,-0.49,-0.34,-0.36,-0.24,-0.42,-0.22,0.12,0.01,0.23,0.2,-0.91,-0.34,0.14,-0.04,0.13,0.28
TIF5       : regulation of translational initiation* ,1,-0.96,-0.79,-0.49,-0.12,0.22,0.38,-1.09,-0.64,-1.03,-0.58,-0.19,0.42,-1.26,-0.88,-0.64,-0.54,0.15,-0.01,-0.93,-1.18,-0.34,-0.34,-0.22,-0.09,-0.9,-0.41,0.05,0.13,0.38,0.52,-1.78,-0.39,0.06,0.05,0.28,0.43
GUA1       : GMP metabolism ,1,-0.64,-0.77,-0.13,0.03,0.26,0.45,-0.38,-0.12,-0.9,-0.41,-0.36,0.59,-0.71,-0.56,-0.59,-0.52,-0.06,0.06,-0.41,-0.61,-0.19,-0.16,-0.22,-0.1,-0.55,-0.26,0.04,0.01,0.23,0.32,-0.84,-0.15,0.1,-0.07,0.33,0.43
DBP6       : 35S primary transcript processing* ,1,-0.4,-0.46,-0.05,0.14,0.04,0.19,-0.16,-0.1,-0.08,-0.25,-0.14,0.35,-0.48,-0.42,-0.44,-0.46,-0.21,0.15,-0.43,-0.39,-0.12,-0.05,-0.23,0.05,-0.55,-0.48,-0.12,-0.13,0.06,0.12,-0.52,-0.09,-0.08,-0.18,0.19,0.21
ANB1       : translational initiation ,1,-0.69,-0.59,-0.37,0.05,0.55,0.44,-0.63,-0.7,-0.78,-0.19,-0.18,0.66,-1.03,-1.02,-1.16,-0.84,-0.5,-0.03,-1.71,-1.15,-0.58,-0.38,-0.32,0.12,-0.94,-0.95,-0.46,-0.26,0.23,0.21,-1.54,-0.52,-0.08,0.01,0.16,0.48
SED4       : ER to Golgi transport ,1,-0.58,-0.61,-0.27,0.1,0.16,0.15,-0.25,-0.14,-0.77,-0.6,-0.48,0.12,-0.53,-0.49,-0.52,-0.1,-0.07,0.1,-0.64,-0.19,-0.24,0,-0.29,0.18,-0.35,-0.39,-0.04,-0.01,0.23,-0.01,-0.92,-0.23,-0.18,-0.4,0.05,0.46
NCL1       : tRNA methylation ,1,-0.57,-0.43,-0.2,-0.1,0.03,0.26,-0.3,-0.45,-0.35,-0.35,-0.06,0.26,-0.17,-0.02,-0.19,-0.15,0.02,0.02,-0.44,-0.36,-0.13,0.07,0.03,0.08,-0.42,-0.06,0.03,0.1,0.28,0.46,-0.9,-0.33,0.01,0.12,0.2,0.26
UBC9       : G2/M transition of mitotic cell cycle* ,1,-0.45,-0.34,-0.22,0.05,0.22,0.32,-0.57,-0.57,-0.36,-0.22,0.01,0.37,-0.21,-0.11,-0.17,0.14,0.01,0.03,-0.48,-0.3,0,-0.05,-0.01,0.17,-0.67,-0.28,-0.03,-0.04,0.15,0.26,-0.71,-0.13,0.02,0.02,0.25,0.31
TRM2       : tRNA modification ,1,-0.31,-0.46,-0.07,-0.11,0.03,0.16,-0.46,-0.43,-0.46,-0.34,-0.27,0.09,-0.14,-0.13,-0.08,-0.04,0.23,0.22,-0.36,-0.37,-0.15,-0.12,-0.16,0.02,-0.38,-0.44,-0.2,-0.33,-0.03,0.08,-0.92,-0.38,-0.05,-0.26,0.03,0.2
KAP123     : protein-nucleus import ,1,-1.19,-1.48,-1.01,-0.42,-0.05,0.17,-0.55,-0.61,-0.97,-0.89,-0.57,0.25,-0.44,-0.22,-0.21,-0.09,0.2,0.62,-0.74,-0.6,-0.41,0,-0.37,0.07,-1.18,-1.04,-0.57,-0.23,-0.03,-0.11,-1.59,-0.68,-0.16,-0.4,0.3,0.63
SEC14      : sporulation (sensu Fungi)* ,1,-0.59,-0.82,-0.89,-0.45,-0.07,0.19,-0.43,-0.07,-0.3,-0.2,-0.21,0.41,-0.52,-0.41,0,0.3,0.58,0.83,-0.85,-0.22,-0.07,0.01,0.01,0.17,-0.87,-0.5,-0.1,-0.05,0.1,0.25,-1.56,0.02,0.06,-0.01,0.34,0.39
DHH1       : deadenylylation-dependent decapping* ,1,-0.84,-0.73,-0.37,-0.28,0.05,0.09,-0.54,-0.3,-0.49,-0.19,0,0.36,-0.44,-0.44,-0.05,0.25,0.26,0.58,NA,-0.06,-0.07,-0.03,-0.29,0.11,-0.84,-0.55,-0.09,0.01,0.22,0.04,-1.1,-0.2,-0.06,0.08,0.25,0.49
GWT1       : GPI anchor biosynthesis ,1,-1.15,-0.95,-0.72,-0.32,-0.17,-0.19,-1,-0.46,-0.29,-0.22,-0.11,0.05,-0.89,-0.59,-0.18,-0.01,0.12,0.27,-0.62,-0.18,-0.08,0.16,0.03,0.6,-1.12,-0.44,-0.22,0.14,0.31,0.01,-2.33,-0.25,-0.12,0.1,0.47,0.54
RLI1       : translational initiation* ,1,-1.06,-0.88,-0.58,-0.18,0.08,0.26,-0.43,-0.16,-0.5,-0.17,-0.25,0.98,-0.61,-0.46,-0.58,-0.42,0.05,0.49,-0.72,-0.62,-0.08,0.05,-0.04,0.21,-0.89,-0.62,-0.3,-0.21,0.01,0.17,-1.78,-0.61,0.03,-0.08,0.33,0.54
TIM18      : protein-membrane targeting* ,1,-0.53,-0.66,-0.52,-0.08,0.01,0.2,-0.59,-0.4,-0.56,0.12,-0.08,0.24,-0.74,-0.59,-0.52,0.05,-0.04,0.31,-0.45,-0.29,-0.02,0.05,-0.03,0.21,-0.63,-0.4,-0.19,-0.21,0.09,0.01,-0.83,-0.16,0.12,-0.16,0.2,0.28
          : biological process unknown ,1,-0.93,-0.44,-0.78,-0.82,-0.14,0.09,-0.67,-0.32,-0.27,-0.06,-0.02,0.16,-1.04,-0.55,-0.39,-0.02,0.33,0.09,-0.59,-0.58,0.03,-0.06,0.02,-0.14,-1,-0.34,-0.16,-0.05,0.19,0.14,-1.31,-0.45,-0.15,-0.05,0.01,0.22
CLN2       : regulation of cyclin dependent protein kinase activity* ,1,-1.23,-1.15,-0.89,-0.3,0.05,0.11,-0.45,-0.42,-1.03,-0.84,-0.15,0.48,-0.26,-0.15,-0.02,0.11,0.68,0.26,-1.66,-1.49,-1.06,-0.89,-0.7,-0.56,-0.98,-0.88,-0.23,-0.04,0.36,0.42,-1.52,-0.25,0.37,-0.16,0.11,0.49
SFB3       : ER to Golgi transport ,1,-0.58,-0.69,-0.31,-0.02,0.03,0.17,-0.3,-0.54,-0.76,-0.47,-0.35,0.19,-0.35,-0.29,-0.15,0.13,0.4,0.59,-1.07,-0.52,-0.42,-0.24,-0.38,-0.12,-0.36,0.01,0.19,0.09,0.15,0.16,-1.01,-0.24,0.06,-0.11,0.03,0.25
PWP1       : rRNA processing ,1,-0.69,-0.58,-0.08,-0.09,0.09,0.32,-1.03,-1.12,-1.18,-0.84,-0.31,0.17,-0.18,-0.05,-0.12,0.02,0.36,0.58,-1.03,-0.96,-0.36,-0.28,-0.22,-0.09,-0.32,-0.38,0.01,-0.03,0.29,0.38,-1.04,-0.79,0.02,0.14,0.19,0.44
"SAD1       : nuclear mRNA splicing, via spliceosome ",1,-0.8,-0.43,-0.01,-0.1,0.3,0.39,-1.04,-0.64,-0.08,0.02,0.22,0.37,-0.31,-0.36,-0.05,-0.18,0.19,0.08,-1.51,-0.5,0.36,0.03,0.2,0.1,-0.52,-0.13,0.06,0.1,0.28,0.12,-1.55,-0.47,0.12,0.19,0.22,0.29
MUQ1       : phosphatidylethanolamine biosynthesis ,1,-0.62,-0.49,0,-0.07,-0.01,0.28,-0.11,-0.44,-0.37,0.11,0.15,0.33,-0.34,-0.18,-0.06,-0.07,0.15,0.02,-0.69,-0.48,0.07,-0.08,0.06,0.05,-0.28,-0.06,-0.2,-0.07,0.12,0.21,-1.2,-0.32,0.1,0.11,0.08,0.17
"HDA1       : regulation of transcription, DNA-dependent* ",1,-0.76,-0.54,0.19,0.4,0.07,0.45,-0.11,-0.44,-0.23,-0.37,-0.02,0.34,-0.23,-0.42,-0.13,-0.14,-0.03,0.27,-0.92,-0.14,-0.02,0.07,0.07,0.21,-0.4,-0.12,0.23,0.2,0.31,0.29,-1.15,-0.43,-0.04,0.08,0.14,0.31
          : biological process unknown ,1,-1.5,-0.6,-0.38,-0.73,-0.16,0.12,-2.15,-1.27,-0.08,0.43,0.94,0.91,-1.75,-0.73,-0.13,0.37,0.42,0.34,-1.55,-0.59,-0.15,-0.25,-0.24,-0.03,-1.75,-0.81,-0.13,0,0.48,0.41,-2.39,-1.17,-0.36,-0.43,-0.37,-0.09
RAX2       : bud site selection ,1,-0.52,-0.19,-0.4,-0.35,0.14,0.23,-0.89,-0.43,-0.31,0,0.08,0.32,-0.36,-0.29,-0.06,-0.35,0.06,0.34,-1.05,-0.24,-0.1,-0.06,-0.09,0.11,-0.56,-0.36,-0.09,0.06,0.01,-0.11,-1.04,-0.43,-0.37,-0.25,-0.13,0.08
GCV2       : one-carbon compound metabolism* ,1,-0.39,-0.15,-0.36,-0.29,0.11,0.46,-0.95,-0.53,-0.56,-0.23,0.19,0.98,-0.88,-0.66,-0.29,0.09,0.48,0.6,-1.3,-1.06,-0.79,-0.61,-0.7,-0.33,-1.02,-0.61,-0.13,-0.15,0.53,0.29,-1.9,-1.63,-0.92,-0.45,-0.37,0.17
          : biological process unknown ,1,-0.52,0.07,-0.17,-0.23,0.07,0.1,-0.52,-0.35,-0.25,-0.47,-0.24,-0.07,-0.5,-0.36,-0.46,-0.22,-0.39,0.02,-1.04,-0.84,-0.6,-0.45,-0.52,-0.25,-0.39,-0.31,-0.45,-0.18,-0.05,-0.1,-0.12,-0.28,-0.43,-0.03,-0.09,0.1
SCY1       : biological process unknown ,1,-0.62,-0.69,-0.08,0.03,0.2,0.26,-0.4,-0.31,-0.51,-0.46,-0.18,0.27,-0.46,-0.33,-0.37,-0.08,-0.26,0.15,-1.15,-0.86,-0.42,-0.33,-0.23,-0.16,-0.78,-0.82,-0.48,-0.39,-0.01,0.13,-0.09,-0.58,-0.37,-0.23,0.11,0.23
PCL9       : cell cycle ,1,-1.15,-0.55,0.29,0.38,0.01,0.09,-1.05,-0.54,-0.33,-0.49,-0.41,-0.09,-0.4,-0.29,-0.28,-0.07,-0.39,-0.45,-1.26,-0.67,-0.54,-0.32,-0.28,-0.1,-1.05,-0.63,-0.25,-0.21,-0.18,0.01,-0.52,-0.43,-0.13,0.02,0.01,0.13
TEC1       : pseudohyphal growth* ,1,-0.45,-0.1,0.53,0.44,0.27,0.38,-0.98,-0.7,-0.42,-0.58,-0.29,0.01,-0.32,-0.08,-0.35,-0.2,-0.39,-0.4,-0.67,-0.76,-0.85,-0.71,-0.56,-0.41,-0.99,-0.56,-0.47,-0.29,-0.15,-0.1,-0.66,-0.46,-0.08,-0.41,-0.17,-0.12
AI1        : mRNA processing* ,1,-0.86,-0.59,0.33,0.11,0.19,0.62,-2.43,-1.74,-1.19,-0.99,-0.06,-0.53,-1.04,-0.91,-0.76,0.04,-0.5,-0.63,-1.74,-0.97,-0.22,-0.43,-0.36,-0.53,0.1,-0.06,0.5,-0.03,0.21,0.13,-1.56,-1.65,-0.47,0.49,-0.42,-0.65
TIF34      : translational initiation ,1,-0.55,-0.46,0.1,0.09,0.01,-0.06,-0.77,-0.82,-0.53,-0.43,-0.2,-0.1,-0.13,-0.21,-0.33,-0.51,-0.04,-0.04,-0.83,-0.71,-0.09,-0.25,-0.06,-0.24,-0.02,-0.06,0.29,0.07,0.05,0.06,-0.5,-0.37,-0.09,0.02,-0.21,-0.19
NOP7       : processing of 20S pre-rRNA* ,1,-0.62,-0.55,0.01,-0.18,0.05,0.21,-0.68,-0.67,-0.45,-0.42,0.16,-0.05,-0.33,0.01,-0.22,-0.5,0.17,-0.12,-0.54,-0.48,-0.02,-0.12,0.1,-0.19,-0.14,-0.27,-0.07,-0.13,0.11,0.21,-0.64,-0.72,0.06,0.23,0.02,0.09
SRP68      : protein-ER targeting* ,1,-0.38,-0.22,-0.24,-0.28,-0.29,-0.35,-0.71,-0.78,-0.34,0.13,-0.07,-0.25,-0.2,-0.07,0.01,0.15,0.13,-0.05,-0.39,-0.13,0,-0.16,-0.06,-0.14,-0.57,-0.28,-0.28,-0.26,-0.19,-0.16,-1.04,-0.53,-0.23,-0.26,-0.21,-0.23
DCW1       : cell wall biosynthesis (sensu Fungi) ,1,-0.81,-0.68,-0.24,-0.18,-0.2,-0.19,-0.62,-0.94,-1.27,-0.84,-0.43,-0.08,-0.53,-0.72,-0.63,-0.53,-0.14,-0.22,-1.4,-0.96,-0.41,-0.4,-0.28,-0.21,-0.02,0,0.09,0.04,0.17,-0.06,-1.15,-0.41,-1.1,-0.18,-0.23,0.01
SEN2       : tRNA splicing ,1,-0.21,-0.12,-0.51,-0.43,-0.21,0.04,-0.36,-0.56,-0.11,-0.29,-0.1,-0.22,-0.04,-0.13,-0.18,-0.24,-0.13,-0.14,-0.27,-0.41,-0.24,-0.33,-0.26,-0.32,-0.34,-0.2,-0.33,-0.1,0.05,0.12,-0.56,-0.53,-0.17,-0.15,-0.18,0.04
RFC3       : mismatch repair* ,1,-0.66,-0.46,-0.53,-0.28,-0.05,-0.14,-0.51,-0.57,-0.7,-0.44,0.02,-0.08,-0.64,-0.56,0.01,-0.36,0.26,-0.2,-0.46,-0.72,-0.04,-0.23,0.1,-0.23,-0.26,-0.09,0.01,0.07,0.06,0.19,-0.57,-0.15,0.07,0.05,-0.23,-0.03
RRP1       : rRNA processing ,1,-0.7,-0.59,-0.39,-0.55,-0.34,-0.1,-1.27,-1.14,-0.46,-0.09,-0.1,-0.22,-0.23,0.05,-0.9,0.04,0.2,0.27,-0.32,-0.36,0.1,-0.06,0.1,-0.15,-0.86,-0.6,-0.29,-0.21,-0.02,0.2,-0.99,-0.45,-0.06,0.14,-0.06,0.05
DST1       : meiotic recombination* ,1,-0.27,-0.15,-0.43,-0.49,-0.23,0.17,-0.55,-0.66,-0.35,-0.36,-0.08,-0.11,-0.4,-0.14,-0.15,-0.12,0.27,0.06,0.14,-0.3,0.13,0,0.11,-0.18,-0.15,0.19,0.09,0.11,0.1,0.24,-0.73,-0.14,-0.04,0.2,-0.03,-0.08
CNS1       : protein folding ,1,-0.43,-0.29,-0.53,-0.8,-0.36,0.11,-1.28,-1.21,-0.64,-0.16,0,-0.29,0.1,-0.06,0.03,0.07,0.31,0.25,-0.1,-0.56,-0.26,-0.22,-0.11,-0.22,-0.27,0.14,-0.34,-0.24,-0.01,0.18,-1.16,-0.49,-0.07,-0.16,-0.02,0.06
TIF35      : translational initiation ,1,-0.38,-0.29,-0.26,-0.4,-0.06,0.07,-0.83,-0.62,-0.08,-0.02,0,-0.12,-0.29,-0.01,0.16,-0.15,0.28,0.14,0.21,-0.16,0.25,0.09,0.34,-0.05,-0.66,-0.12,-0.14,0,0.01,0.34,-0.99,-0.38,-0.17,0.13,-0.15,-0.07
BCP1       : biological process unknown ,1,-0.4,-0.33,-0.35,-0.42,-0.09,0.09,-1.33,-1.1,-0.33,-0.19,-0.1,-0.1,0.24,-0.01,-0.14,-0.12,0.22,0.33,-0.16,-0.09,0.24,0.07,0.25,0.07,-0.46,-0.36,-0.32,-0.11,-0.01,0.26,-1.42,-0.8,-0.31,0.06,-0.17,0.03
          : biological process unknown ,1,-0.28,0.12,-0.09,-0.36,-0.02,0.09,-1.3,-1.11,-0.19,-0.01,-0.1,-0.03,-0.1,-0.1,0.05,0,0.1,0.33,-0.29,-0.29,0.17,0.03,0.22,-0.1,-0.33,0,-0.12,-0.03,-0.03,-0.01,-0.92,-0.54,-0.25,0.04,-0.13,-0.24
TAH18      : biological process unknown ,1,0.09,0.1,-0.36,-0.57,-0.35,-0.09,-0.79,-0.88,-0.27,-0.29,-0.2,-0.24,-0.14,-0.08,-0.01,-0.04,0.07,0.34,0.03,-0.12,0.26,0.01,0.22,-0.11,-0.19,0,0.04,0.1,-0.03,0.05,-0.84,-0.43,-0.11,0.07,-0.12,-0.2
MET22      : sulfate assimilation* ,1,-0.38,-0.24,-1.06,-1.01,-0.61,-0.1,-2.09,-1.78,-0.83,-0.58,-0.28,-0.06,-0.45,-0.52,-0.31,-0.22,0.23,0.55,0.16,0.44,0.93,0.83,0.84,0.74,-0.32,0.15,0.08,0.18,0.06,-0.12,-2.03,-0.75,-0.58,-0.1,-0.21,-0.06
NUP84      : mRNA-nucleus export* ,1,-0.33,-0.3,-0.18,-0.28,-0.21,-0.14,-0.68,-0.62,0.02,0.48,0,-0.01,-0.01,0.12,0.25,0.32,0.23,0.21,-0.23,-0.09,0.15,0.04,0.14,0.01,-0.34,0.06,-0.05,0.01,-0.03,-0.02,-1.25,-0.3,-0.06,-0.01,-0.02,-0.18
